Product_ID,Brand,Gender,Category,Color,Size,Cost_Price,Selling_Price,Profit_Margin,Stock
P141,Levi's,Kids,Boys T-Shirt,Green,L,794,1152,45.1,58
P142,Van Heusen,Kids,Boys Shirt,Olive,L,1043,1723,65.24,21
P143,Van Heusen,Men,Shirt,Olive,L,1086,1548,42.5,29
P144,Killer,Kids,Boys Shirt,Navy,XXL,668,1026,53.55,57
P145,Blackberrys,Kids,Boys Shirt,Grey,XXL,538,741,37.78,61
P146,Killer,Kids,Boys T-Shirt,Navy,M,865,1437,66.14,44
P147,US Polo,Kids,Girls Dress,Red,S,1322,1793,35.67,26
P148,Mufti,Kids,Girls Top,Grey,3XL,992,1654,66.7,12
P149,Spykar,Kids,Boys Shirt,Navy,XL,1641,2222,35.4,45
P150,Peter England,Kids,Boys T-Shirt,Blue,XL,280,487,73.98,39
P151,Yankees,Kids,Winter Wear,Grey,S,1615,2745,69.95,69
P152,Duke,Kids,Girls Dress,White,S,1702,2716,59.58,43
P153,Duke,Men,Kurta,White,L,1666,2625,57.54,78
P154,Killer,Kids,Boys T-Shirt,Blue,M,1522,2172,42.69,28
P155,Van Heusen,Kids,Girls Dress,Olive,3XL,1405,2169,54.36,31
P156,Duke,Kids,Girls Top,Brown,M,1370,1874,36.8,15
P157,Peter England,Men,Shorts,Blue,S,1429,2452,71.56,14
P158,Scotlane,Kids,Boys Shirt,Blue,L,1185,1709,44.2,18
P159,Blackberrys,Men,T-Shirt,Brown,M,728,1263,73.48,24
P160,Scotlane,Kids,Boys Jeans,Red,XXL,1732,2391,38.03,10
P161,Peter England,Kids,Girls Dress,Black,3XL,867,1460,68.42,27
P162,Scotlane,Kids,Boys Shirt,White,M,825,1215,47.31,25
P163,Spykar,Men,Jacket,Maroon,L,1253,2092,66.96,36
P164,Peter England,Men,Trouser,Maroon,M,448,682,52.16,16
P165,Yankees,Men,Kurta,Green,L,835,1359,62.72,35
P166,Spykar,Men,Hoodie,Olive,3XL,997,1555,56.0,14
P167,Spykar,Kids,Boys Jeans,Navy,3XL,968,1354,39.85,25
P168,Flu Jeans,Kids,Boys T-Shirt,Blue,XL,309,462,49.43,33
P169,US Polo,Kids,Girls Dress,Red,S,286,438,53.2,9
P170,Flu Jeans,Men,Hoodie,Brown,3XL,379,623,64.5,16
P171,Mufti,Kids,Boys T-Shirt,Grey,XL,1244,1719,38.19,34
P172,Levi's,Kids,Winter Wear,Maroon,M,900,1417,57.41,64
P173,Octave,Kids,Boys Shirt,Green,XXL,1295,1947,50.31,56
P174,Flu Jeans,Kids,Boys T-Shirt,Maroon,XXL,980,1668,70.18,24
P175,Allen Solly,Kids,Girls Top,Grey,M,1299,1949,50.06,56
P176,Duke,Kids,Girls Top,Brown,XL,1523,2314,51.91,47
P177,Peter England,Men,Hoodie,Maroon,M,331,552,66.78,14
P178,Allen Solly,Men,Shirt,Green,3XL,952,1423,49.47,6
P179,Yankees,Kids,Boys T-Shirt,White,M,619,908,46.67,6
P180,Peter England,Kids,Girls Dress,Green,3XL,522,819,56.93,39
P181,Van Heusen,Kids,Boys Shirt,Blue,S,672,1122,66.96,21
P182,Yankees,Men,Hoodie,Blue,M,1745,2689,54.1,22
P183,Allen Solly,Kids,Girls Top,Black,XXL,663,1057,59.4,63
P184,Levi's,Kids,Boys Shirt,Grey,M,901,1498,66.31,50
P185,Levi's,Kids,Girls Top,Blue,3XL,1229,2021,64.45,51
P186,Blackberrys,Men,Trouser,Grey,L,1664,2816,69.21,47
P187,Allen Solly,Kids,Girls Top,Brown,S,261,355,36.15,19
P188,Killer,Kids,Girls Dress,White,M,1196,1979,65.43,42
P189,Pepe Jeans,Kids,Boys T-Shirt,Green,S,1629,2691,65.18,9
P190,Allen Solly,Kids,Boys T-Shirt,Brown,S,573,959,67.28,36
P191,Scotlane,Men,Kurta,Red,M,476,679,42.61,39
P192,Duke,Men,Shirt,Brown,M,524,754,43.88,11
P193,Blackberrys,Kids,Boys Shirt,Brown,3XL,1030,1771,71.91,7
P194,Duke,Men,Trouser,Black,S,1187,1922,61.91,16
P195,Mufti,Kids,Boys Jeans,Grey,M,1568,2508,59.97,9
P196,US Polo,Men,Kurta,Brown,M,1017,1375,35.21,5
P197,Flu Jeans,Kids,Winter Wear,Olive,M,1221,1978,62.03,36
P198,Peter England,Men,Jeans,White,L,988,1489,50.75,12
P199,Flu Jeans,Kids,Girls Top,Maroon,XXL,1655,2554,54.32,66
P200,US Polo,Men,Shirt,White,S,1051,1539,46.39,40
P201,Pepe Jeans,Men,Jeans,Olive,3XL,580,882,52.09,42
P202,Duke,Men,Shirt,Brown,3XL,818,1416,73.13,78
P203,Peter England,Kids,Boys Jeans,Grey,L,1477,2174,47.21,36
P204,Octave,Kids,Girls Top,Olive,3XL,1021,1483,45.25,50
P205,Blackberrys,Men,Shorts,White,L,1412,2118,50.0,80
P206,US Polo,Men,Kurta,White,S,1717,2990,74.14,72
P207,Duke,Men,Jacket,Grey,XXL,1333,2310,73.28,58
P208,Van Heusen,Kids,Girls Dress,Red,XXL,1610,2210,37.29,30
P209,Octave,Men,Shirt,Red,S,1648,2518,52.79,58
P210,Mufti,Men,Shorts,Red,XXL,728,987,35.59,16
P211,Killer,Kids,Girls Top,Navy,XXL,1238,1975,59.52,34
P212,Peter England,Men,T-Shirt,Green,XXL,626,1031,64.7,49
P213,US Polo,Men,Trouser,Grey,L,663,1044,57.46,27
P214,Peter England,Men,Kurta,Green,XXL,1194,1829,53.2,27
P215,Peter England,Kids,Boys Jeans,Maroon,XL,744,1196,60.81,69
P216,Pepe Jeans,Men,Shorts,Green,M,743,1227,65.13,68
P217,Scotlane,Kids,Boys Shirt,Olive,XXL,1324,2174,64.18,74
P218,Van Heusen,Kids,Girls Top,Black,M,987,1632,65.38,54
P219,Allen Solly,Men,Hoodie,Green,3XL,667,1148,72.11,33
P220,Octave,Kids,Boys Shirt,Brown,M,1019,1728,69.61,29
P221,Spykar,Kids,Boys T-Shirt,Maroon,XXL,529,790,49.42,59
P222,Duke,Kids,Girls Top,Grey,L,1652,2775,68.01,61
P223,US Polo,Men,Shirt,Red,XL,474,785,65.65,71
P224,US Polo,Men,Jeans,Green,3XL,1630,2395,46.95,6
P225,Van Heusen,Men,Kurta,White,M,375,565,50.59,58
P226,Spykar,Kids,Boys Jeans,Navy,XL,713,1101,54.43,69
P227,Blackberrys,Men,Kurta,Olive,S,1778,2930,64.8,38
P228,Killer,Kids,Boys Jeans,Maroon,3XL,1417,2118,49.49,80
P229,Allen Solly,Men,Trouser,Black,S,581,976,67.97,64
P230,Mufti,Kids,Boys Jeans,Black,XL,768,1104,43.72,54
P231,Duke,Kids,Girls Dress,Olive,M,619,1028,66.05,23
P232,Scotlane,Kids,Boys Shirt,Black,L,755,1171,55.09,9
P233,Killer,Kids,Girls Top,Black,L,1123,1895,68.71,25
P234,Allen Solly,Kids,Girls Top,Maroon,XL,1552,2341,50.86,65
P235,Allen Solly,Men,Jacket,White,XL,796,1321,65.96,52
P236,Allen Solly,Kids,Winter Wear,Maroon,3XL,310,485,56.34,48
P237,Yankees,Kids,Boys T-Shirt,Blue,XL,1077,1778,65.12,57
P238,Flu Jeans,Men,Hoodie,Grey,M,1064,1766,65.93,33
P239,Mufti,Kids,Boys Jeans,Brown,XXL,1707,2720,59.33,68
P240,Blackberrys,Men,Jeans,Green,M,646,1128,74.54,59
P241,Killer,Men,T-Shirt,Olive,XXL,1116,1644,47.33,39
P242,Killer,Men,Hoodie,Olive,L,744,1121,50.64,40
P243,Mufti,Kids,Girls Top,Maroon,3XL,1464,2195,49.96,21
P244,Duke,Men,Jeans,White,XL,572,813,42.08,75
P245,Flu Jeans,Kids,Girls Top,Blue,M,633,941,48.72,22
P246,US Polo,Men,Shorts,Grey,3XL,1791,2448,36.7,35
P247,Mufti,Men,Shorts,White,3XL,1004,1745,73.76,29
P248,Pepe Jeans,Men,Hoodie,Brown,S,953,1351,41.79,17
P249,Pepe Jeans,Kids,Girls Dress,Black,S,1221,2064,69.04,13
P250,Allen Solly,Kids,Winter Wear,Green,S,819,1215,48.4,54
